GeoUID,v_CA01_1634: Median household income $
9330001.01,50899
9330001.02,50872
9330002.01,50745
9330002.02,54079
9330003.01,46521
9330003.02,43672
9330004.01,46992
9330004.02,45240
9330005.00,32077
9330006.01,52647
9330006.02,40164
9330007.01,60951
9330007.02,75940
9330008.00,99638
9330009.00,49399
9330010.01,47264
9330010.02,50243
9330011.00,45343
9330012.00,42235
9330013.01,38348
9330013.02,46541
9330014.00,43884
9330015.01,57224
9330015.02,44862
9330016.01,34688
9330016.03,35223
9330016.04,44062
9330017.01,51006
9330017.02,39550
9330018.01,46018
9330018.02,49384
9330019.00,44836
9330020.00,79406
9330021.00,108113
9330022.00,48212
9330023.00,79303
9330024.00,86523
9330025.00,72319
9330026.00,58805
9330027.00,59195
9330028.00,67085
9330029.00,57799
9330030.00,48178
9330031.01,53903
9330031.02,47957
9330032.00,48518
9330033.00,44284
9330034.01,40457
9330034.02,43887
9330035.01,43039
9330035.02,40004
9330036.01,46101
9330036.02,51450
9330037.01,35371
9330037.02,35268
9330038.00,32708
9330039.01,38160
9330039.02,43378
9330040.01,40718
9330040.02,42570
9330041.01,44251
9330041.02,58866
9330042.00,54760
9330043.01,69640
9330043.02,85310
9330044.00,61264
9330045.01,63027
9330045.02,53793
9330046.00,42164
9330047.01,46975
9330047.02,47364
9330048.00,48004
9330049.01,57161
9330049.02,52641
9330050.02,27601
9330050.03,30277
9330050.04,25765
9330051.00,42364
9330052.01,34745
9330052.02,42872
9330053.01,45941
9330053.02,53872
9330054.01,45755
9330054.02,47123
9330055.01,29975
9330055.02,32810
9330056.01,21714
9330056.02,34063
9330057.01,13753
9330057.02,18428
9330058.00,10814
9330059.03,61107
9330059.04,30385
9330059.05,40753
9330059.06,10032
9330060.01,37104
9330060.02,35283
9330061.00,35305
9330062.00,42442
9330063.00,38381
9330064.00,36099
9330065.00,32308
9330066.00,46696
9330067.00,30589
9330068.00,37961
9330069.00,49349
9330100.01,55569
9330100.02,47445
9330101.01,38720
9330101.02,40020
9330102.00,52668
9330103.00,41297
9330104.00,55812
9330110.01,77976
9330110.02,84561
9330111.01,67154
9330111.02,84097
9330111.03,61680
9330112.00,56085
9330113.00,55032
9330114.00,74760
9330115.00,69794
9330116.00,76738
9330117.00,77837
9330118.00,47769
9330119.00,71196
9330120.00,76657
9330121.00,90851
9330122.00,95288
9330130.01,48695
9330130.02,36145
9330131.00,76958
9330132.00,120145
9330133.01,85332
9330133.02,124508
9330134.00,84318
9330135.00,98477
9330140.02,65140
9330140.03,47778
9330140.04,60204
9330141.00,58164
9330142.01,66078
9330142.02,63081
9330142.03,52043
9330143.01,69273
9330143.02,48002
9330143.03,49036
9330143.04,54398
9330144.03,62167
