id,income-2016
9330001.01,72141
9330001.02,76826
9330002.01,72448
9330002.03,77824
9330002.04,81701
9330003.01,73472
9330003.02,67840
9330004.01,59026
9330004.02,70067
9330005.00,44160
9330006.01,67123
9330006.02,66125
9330007.01,73280
9330007.02,99520
9330008.01,81408
9330008.02,125184
9330009.00,60544
9330010.01,58197
9330010.02,71467
9330011.00,63334
9330012.00,71851
9330013.01,65978
9330013.03,63872
9330013.04,71782
9330014.01,64128
9330014.02,53029
9330015.01,75849
9330015.02,68096
9330016.01,59959
9330016.04,65664
9330016.05,58325
9330016.06,55723
9330017.01,65067
9330017.02,63936
9330018.01,65609
9330018.02,74752
9330019.00,70617
9330020.00,99968
9330021.00,143155
9330022.00,56544
9330023.00,111360
9330024.00,116395
9330025.00,92818
9330026.00,82432
9330027.01,85504
9330027.02,67456
9330028.00,98048
9330029.00,83861
9330030.00,89549
9330031.01,86144
9330031.02,82816
9330032.00,72802
9330033.01,81636
9330033.02,70827
9330034.01,64128
9330034.02,72290
9330035.01,68693
9330035.02,64922
9330036.01,66011
9330036.02,73813
9330037.01,70869
9330037.02,64192
9330038.00,67776
9330039.01,67191
9330039.02,70459
9330040.01,53606
9330040.02,59975
9330041.01,64402
9330041.02,81385
9330042.00,85797
9330043.01,75744
9330043.02,98645
9330044.00,83456
9330045.01,87836
9330045.02,76096
9330046.00,61600
9330047.01,70459
9330047.02,66901
9330048.00,67149
9330049.01,89971
9330049.02,78176
9330050.02,50670
9330050.03,58832
9330050.04,43995
9330051.01,78746
9330051.02,62752
9330052.01,53595
9330052.02,68324
9330053.01,74403
9330053.02,77894
9330054.01,78976
9330054.02,78144
9330055.01,55698
9330055.02,50576
9330056.01,41293
9330056.02,60946
9330057.01,24299
9330057.02,33920
9330058.00,17051
9330059.06,27258
9330059.07,92599
9330059.08,88789
9330059.09,55936
9330059.10,62771
9330059.11,65920
9330059.13,72082
9330059.14,78822
9330060.01,53299
9330060.02,49998
9330061.00,51531
9330062.00,58423
9330063.00,52425
9330064.00,48768
9330065.00,50613
9330066.00,71774
9330067.01,43989
9330067.02,63206
9330068.00,50667
9330069.01,48141
9330069.02,39104
9330100.01,80000
9330100.02,75315
9330101.03,55050
9330101.04,53269
9330101.05,67188
9330101.06,62938
9330102.01,55168
9330102.02,80710
9330103.00,59776
9330104.00,91520
9330110.02,120768
9330110.03,121984
9330110.04,125184
9330111.02,112407
9330111.04,78702
9330111.05,92562
9330111.06,x
9330111.07,91904
9330112.00,88448
9330113.00,84928
9330114.01,134656
9330114.02,114624
9330115.00,103595
9330116.00,121702
9330117.00,113971
9330118.00,68807
9330119.00,109440
9330120.00,118528
9330121.00,139410
9330122.00,126976
9330130.01,62357
9330130.03,50400
9330130.04,38933
9330131.00,92416
9330132.00,144128
9330133.01,127488
9330133.02,145481
9330134.00,92928
9330135.00,106880
9330140.02,88858
9330140.03,73045
9330140.04,97280
9330141.01,84053
9330141.02,85931
9330142.01,91136
9330142.02,81152
9330142.03,63915
9330143.01,88883
9330143.02,56960
9330143.03,64256
9330143.04,84523
9330144.03,83968
9330144.04,64358
9330144.05,69056
9330144.06,77440
9330145.01,63898
9330145.02,82716
9330146.00,80939
9330147.01,58829
9330147.04,53984
9330147.05,49440
9330147.07,34880
9330147.08,48081
9330147.09,55893
9330147.10,57280
9330148.00,36759
9330149.02,78037
9330149.05,66496
9330149.06,69717
9330149.07,79360
9330149.08,68096
9330149.09,61312
9330150.00,102400
9330151.03,84224
9330151.05,77568
9330151.06,87680
9330151.07,42061
9330151.08,63147
9330160.01,118944
9330160.02,88704
9330160.03,101696
9330160.04,77653
9330161.02,77824
9330161.03,93568
9330161.05,94400
9330161.06,99285
9330161.07,x
9330161.08,84053
9330161.09,90368
9330162.01,100864
9330162.02,103834
9330162.03,74272
9330162.04,117632
9330163.01,102473
9330163.04,106688
9330163.05,72485
9330163.06,74016
9330163.07,85376
9330163.08,91179
9330170.03,48192
9330170.04,82034
9330170.05,44006
9330170.07,77696
9330170.08,81888
9330180.01,106212
9330180.03,94950
9330180.04,93139
9330181.03,98432
9330181.05,62080
9330181.07,114773
9330181.08,107605
9330181.09,96329
9330181.10,73941
9330181.11,51566
9330181.12,122624
9330181.13,86926
9330181.14,72474
9330181.15,47232
9330181.16,80567
9330182.01,98240
9330182.02,118912
9330182.03,102502
9330182.04,123648
9330182.05,98773
9330182.06,91392
9330183.01,97280
9330183.03,69120
9330183.05,109380
9330183.06,79214
9330183.07,105259
9330183.08,83063
9330183.09,88670
9330184.02,59536
9330184.06,71607
9330184.07,62541
9330184.08,79057
9330184.09,88960
9330184.10,77995
9330184.11,91040
9330184.12,86272
9330184.13,97728
9330184.14,99584
9330184.15,101530
9330184.16,86699
9330185.05,60595
9330185.07,89242
9330185.08,138459
9330185.09,64461
9330185.10,66162
9330185.11,64224
9330185.12,84896
9330185.15,69146
9330185.16,75154
9330185.17,95019
9330185.18,93440
9330185.19,74778
9330185.20,75435
9330185.21,60032
9330185.22,66867
9330186.01,76325
9330186.02,70016
9330186.05,67170
9330186.06,73600
9330186.07,75571
9330186.08,71145
9330187.03,80235
9330187.04,79744
9330187.05,75959
9330187.06,81152
9330187.07,112384
9330187.11,81338
9330187.12,82798
9330187.13,82859
9330187.14,66765
9330187.15,79232
9330187.16,94208
9330188.01,99584
9330188.02,91776
9330188.04,88320
9330188.05,106138
9330188.06,91989
9330188.07,102016
9330188.08,97600
9330189.03,86682
9330189.05,53632
9330189.06,72141
9330189.07,64832
9330189.08,44709
9330189.09,83968
9330189.10,72558
9330190.01,54408
9330190.03,58688
9330190.04,78592
9330190.05,58368
9330191.03,71680
9330191.04,48540
9330191.05,71387
9330191.06,52626
9330191.07,44325
9330192.00,66645
9330200.00,94805
9330201.00,81152
9330202.00,68312
9330203.00,90112
9330204.01,53157
9330204.02,48474
9330205.01,45483
9330205.02,47232
9330206.00,63502
9330207.00,53867
9330208.00,74176
9330209.00,84130
9330210.00,67104
9330220.00,84480
9330221.01,98688
9330221.03,86101
9330221.04,67021
9330222.01,70400
9330222.02,74470
9330223.01,69427
9330223.02,61120
9330224.01,44442
9330224.02,38891
9330225.01,77141
9330225.02,55723
9330226.02,67738
9330226.03,39134
9330226.04,44395
9330227.01,40425
9330227.02,50096
9330228.02,78720
9330228.03,47531
9330228.04,53056
9330229.00,69717
9330230.01,97728
9330230.02,63762
9330231.00,97719
9330232.00,86827
9330233.00,77995
9330234.00,90766
9330235.02,85760
9330235.03,42510
9330235.04,60463
9330236.00,111531
9330237.00,70304
9330238.01,80384
9330238.02,79342
9330239.01,81280
9330239.02,67212
9330240.01,69646
9330240.02,72590
9330241.00,72747
9330242.00,68324
9330243.01,73877
9330243.02,71834
9330250.01,89856
9330250.02,131413
9330251.01,F
9330251.02,88320
9330260.04,94912
9330260.05,95360
9330260.06,121161
9330260.07,82615
9330260.08,124300
9330260.10,82409
9330260.11,112384
9330260.12,76160
9330270.00,x
9330280.01,x
9330280.02,108117
9330281.01,100890
9330281.02,80071
9330282.01,71168
9330282.02,66406
9330283.00,54683
9330284.01,58453
9330284.02,69171
9330285.01,44203
9330285.02,99157
9330286.01,95415
9330286.02,97024
9330286.03,114176
9330287.01,75406
9330287.02,111403
9330287.06,57792
9330287.09,43241
9330287.10,102528
9330287.11,94771
9330287.12,84261
9330287.13,72533
9330287.14,102997
9330287.15,64320
9330287.16,50816
9330290.02,60907
9330290.04,116992
9330290.05,98048
9330290.06,x
9330290.07,93099
9330291.01,66125
9330291.02,82733
9330292.01,106338
9330292.03,99712
9330292.04,97229
9330400.04,110208
9330400.05,100238
9330400.06,106880
9330400.07,x
9330400.08,x
9330400.09,102016
9330401.01,61824
9330401.02,51085
9330402.02,83552
9330402.03,50859
9330402.04,87904
9330403.01,85402
9330403.04,94976
9330403.05,99541
9330403.06,35456
9330403.07,86080
9330404.01,98487
9330404.02,118848
9330410.02,77488
9330410.04,77248
9330410.05,82176
9330410.06,114592
9330500.01,42816
9330500.02,81568
9330501.01,70656
9330501.02,102443
9330501.03,97178
9330502.01,100535
9330502.02,70699
9330502.03,103753
9330502.05,101461
9330502.06,115968
9330502.07,84608
9330503.01,109466
9330503.03,96000
9330503.06,54912
9330503.07,32117
9330503.08,57173
9330503.09,55616
9330504.03,109504
9330504.05,91307
9330504.07,79360
9330504.08,92928
9330504.09,113075
9330504.10,75904
9330504.11,93824
9330504.12,93216
9330504.13,82330
9330504.14,x
9330504.15,86144
9330505.01,108672
9330505.03,x
9330505.04,111488
9330506.01,73813
9330506.02,74035
